XAU,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,1H,1591063200,1741.918,1742.509,1738.666,1739.2,1653,3209.15
XAU,1H,1591066800,1739.2,1739.84,1738.89,1739.582,148,3147.9
XAU,1H,1591070400,1739.582,1739.73,1735.692,1736.524,405,3003.6
XAU,1H,1591074000,1736.524,1740.001,1735.626,1739.087,2141,2946.25
XAU,1H,1591077600,1739.087,1739.565,1735.566,1737.204,2184,2984.1
XAU,1H,1591081200,1737.204,1737.976,1734.844,1735.928,1716,3021.95
XAU,1H,1591084800,1735.928,1739.242,1735.16,1738.838,1699,2984.7
XAU,1H,1591088400,1738.838,1742.246,1737.922,1739.734,3503,2929.6
XAU,1H,1591092000,1739.734,1740.932,1737.014,1740.147,763,2631.45
XAU,1H,1591095600,1740.147,1741.706,1738.682,1740.137,995,2260.4
XAU,1H,1591099200,1740.137,1742.188,1737.162,1741.51,6587,2127.85
XAU,1H,1591102800,1741.51,1744.84,1741.332,1744.754,6214,2276.05
XAU,1H,1591106400,1744.754,1745.304,1738.696,1740.327,9090,2580
XAU,1H,1591110000,1740.327,1740.87,1727.02,1729.919,21181,3463.3
XAU,1H,1591113600,1729.919,1731.266,1721.698,1724.926,9957,3733.2
XAU,1H,1591117200,1724.926,1728.252,1724.48,1727.414,8675,4071.85
XAU,1H,1591120800,1727.414,1728.187,1724.296,1728.068,3572,4211
XAU,1H,1591124400,1728.068,1729.548,1727.218,1728.314,1105,4234.45
XAU,1H,1591128000,1728.314,1728.725,1724.952,1727.951,1926,4294.35
XAU,1H,1591135200,1727.951,1731.297,1726.336,1730.88,1746,4263
XAU,1H,1591138800,1730.88,1732.312,1726.055,1726.651,1017,4231.2
XAU,1H,1591142400,1726.651,1726.741,1720.628,1725.355,4828,4465.2
XAU,1H,1591146000,1725.355,1729.014,1725.109,1728.964,1563,4523.1
XAU,1H,1591149600,1728.964,1729.344,1725.393,1728.466,1028,4467.45
XAU,1H,1591153200,1728.466,1729.666,1725.008,1725.066,793,4397.9
XAU,1H,1591156800,1725.066,1726.484,1724.738,1726.302,416,4332.9
XAU,1H,1591160400,1726.302,1726.774,1723.116,1724.823,1734,4334.65
XAU,1H,1591164000,1724.823,1726.2,1720.768,1721.627,2218,4270.4
XAU,1H,1591167600,1721.627,1725.006,1719.87,1720.564,4352,4449.85
XAU,1H,1591171200,1720.564,1721.038,1713.142,1717.678,4101,4605.15
XAU,1H,1591174800,1717.678,1720.286,1717.347,1718.2,3623,4456.95
XAU,1H,1591178400,1718.2,1720.817,1717.252,1719.316,1387,4215.6
XAU,1H,1591182000,1719.316,1722.512,1716.942,1722.332,1997,3860.95
XAU,1H,1591185600,1722.332,1726.146,1706.223,1709.118,14454,3524.6
XAU,1H,1591189200,1709.118,1711.67,1703.222,1706.1,16746,3864.05
XAU,1H,1591192800,1706.1,1706.356,1689.589,1693.512,21323,4496.45
XAU,1H,1591196400,1693.512,1700.666,1692.038,1699.879,10400,4837.85
XAU,1H,1591200000,1699.879,1700.694,1697.174,1699.145,2860,4925.6
XAU,1H,1591203600,1699.145,1700.834,1698.961,1699.428,1430,4900.8
XAU,1H,1591207200,1699.428,1700.15,1694.44,1697.426,1310,4879
XAU,1H,1591210800,1697.426,1699.686,1696.374,1697.833,1949,4925.6
XAU,1H,1591214400,1697.833,1699.49,1697.234,1698.056,393,4703.85
XAU,1H,1591221600,1698.056,1700.518,1697.342,1699.287,550,4653.2
XAU,1H,1591225200,1699.287,1701.067,1697.744,1700.772,376,4620.6
XAU,1H,1591228800,1700.772,1701.316,1698.809,1700.102,1382,4650.05
XAU,1H,1591232400,1700.102,1703.373,1697.393,1701.776,1106,4684.55
XAU,1H,1591236000,1701.776,1705.57,1701.724,1704.944,1102,4652.95
XAU,1H,1591239600,1704.944,1705.065,1702.715,1703.088,1663,4625.2
XAU,1H,1591243200,1703.088,1705.308,1702.357,1704.376,962,4455.7
XAU,1H,1591246800,1704.376,1705,1701.072,1701.326,1414,4321.35
XAU,1H,1591250400,1701.326,1701.759,1698.469,1701.096,2179,4249.15
